分数	人数	累计
707	11	11
706	2	13
705	3	16
704	3	19
702	1	20
701	4	24
700	5	29
699	6	35
698	7	42
697	6	48
696	4	52
695	6	58
694	14	72
693	5	77
692	14	91
691	18	109
690	14	123
689	15	138
688	18	156
687	11	167
686	13	180
685	33	213
684	18	231
683	31	262
682	20	282
681	30	312
680	24	336
679	30	366
678	33	399
677	32	431
676	44	475
675	36	511
674	40	551
673	45	596
672	44	640
671	56	696
670	49	745
669	43	788
668	64	852
667	66	918
666	73	991
665	57	1048
664	62	1110
663	73	1183
662	70	1253
661	77	1330
660	74	1404
659	92	1496
658	87	1583
657	96	1679
656	106	1785
655	110	1895
654	105	2000
653	108	2108
652	120	2228
651	128	2356
650	124	2480
649	129	2609
648	120	2729
647	104	2833
646	145	2978
645	144	3122
644	128	3250
643	147	3397
642	148	3545
641	164	3709
640	164	3873
639	166	4039
638	175	4214
637	184	4398
636	146	4544
635	191	4735
634	178	4913
633	190	5103
632	191	5294
631	180	5474
630	196	5670
629	212	5882
628	198	6080
627	184	6264
626	223	6487
625	221	6708
624	234	6942
623	233	7175
622	268	7443
621	248	7691
620	244	7935
619	234	8169
618	270	8439
617	242	8681
616	247	8928
615	252	9180
614	263	9443
613	285	9728
612	280	10008
611	270	10278
610	309	10587
609	304	10891
608	275	11166
607	284	11450
606	292	11742
605	271	12013
604	319	12332
603	330	12662
602	297	12959
601	312	13271
600	330	13601
599	336	13937
598	320	14257
597	332	14589
596	331	14920
595	326	15246
594	299	15545
593	357	15902
592	380	16282
591	339	16621
590	349	16970
589	334	17304
588	349	17653
587	353	18006
586	364	18370
585	341	18711
584	363	19074
583	361	19435
582	369	19804
581	342	20146
580	395	20541
579	387	20928
578	401	21329
577	349	21678
576	379	22057
575	399	22456
574	364	22820
573	378	23198
572	400	23598
571	399	23997
570	396	24393
569	422	24815
568	389	25204
567	379	25583
566	390	25973
565	409	26382
564	390	26772
563	413	27185
562	417	27602
561	418	28020
560	387	28407
559	441	28848
558	410	29258
557	408	29666
556	452	30118
555	437	30555
554	458	31013
553	414	31427
552	461	31888
551	416	32304
550	442	32746
549	447	33193
548	459	33652
547	465	34117
546	450	34567
545	469	35036
544	488	35524
543	453	35977
542	444	36421
541	467	36888
540	432	37320
539	461	37781
538	475	38256
537	499	38755
536	471	39226
535	428	39654
534	474	40128
533	487	40615
532	459	41074
531	447	41521
530	476	41997
529	474	42471
528	427	42898
527	450	43348
526	456	43804
525	489	44293
524	515	44808
523	486	45294
522	470	45764
521	498	46262
520	494	46756
519	506	47262
518	472	47734
517	459	48193
516	463	48656
515	500	49156
514	508	49664
513	485	50149
512	493	50642
511	490	51132
510	526	51658
509	477	52135
508	472	52607
507	480	53087
506	497	53584
505	490	54074
504	449	54523
503	523	55046
502	512	55558
501	499	56057
500	491	56548
499	498	57046
498	517	57563
497	481	58044
496	492	58536
495	480	59016
494	505	59521
493	513	60034
492	518	60552
491	498	61050
490	495	61545
489	513	62058
488	497	62555
487	486	63041
486	465	63506
485	505	64011
484	517	64528
483	490	65018
482	514	65532
481	514	66046
480	520	66566
479	476	67042
478	508	67550
477	496	68046
476	543	68589
475	501	69090
474	475	69565
473	489	70054
472	498	70552
471	515	71067
470	519	71586
469	502	72088
468	551	72639
467	545	73184
466	520	73704
465	490	74194
464	505	74699
463	508	75207
462	479	75686
461	511	76197
460	542	76739
459	465	77204
458	534	77738
457	544	78282
456	506	78788
455	517	79305
454	488	79793
453	470	80263
452	507	80770
451	512	81282
450	503	81785
449	498	82283
448	480	82763
447	503	83266
446	479	83745
445	529	84274
444	486	84760
443	483	85243
442	476	85719
441	537	86256
440	496	86752
439	479	87231
438	455	87686
437	454	88140
436	458	88598
435	464	89062
434	503	89565
433	497	90062
432	454	90516
431	493	91009
430	529	91538
429	471	92009
428	475	92484
427	467	92951
426	484	93435
425	436	93871
424	460	94331
423	461	94792
422	476	95268
421	441	95709
420	451	96160
419	439	96599
418	468	97067
417	470	97537
416	449	97986
415	485	98471
414	409	98880
413	457	99337
412	432	99769
411	459	100228
410	459	100687
409	418	101105
408	461	101566
407	438	102004
406	416	102420
405	442	102862
404	461	103323
403	424	103747
402	438	104185
401	417	104602
400	456	105058
399	443	105501
398	404	105905
397	391	106296
396	435	106731
395	428	107159
394	416	107575
393	453	108028
392	388	108416
391	417	108833
390	422	109255
389	407	109662
388	392	110054
387	389	110443
386	402	110845
385	373	111218
384	373	111591
383	367	111958
382	420	112378
381	387	112765
380	399	113164
379	386	113550
378	398	113948
377	408	114356
376	397	114753
375	434	115187
374	361	115548
373	348	115896
372	367	116263
371	379	116642
370	399	117041
369	365	117406
368	351	117757
367	352	118109
366	329	118438
365	323	118761
364	337	119098
363	355	119453
362	371	119824
361	362	120186
360	316	120502
359	312	120814
358	315	121129
357	324	121453
356	307	121760
355	307	122067
354	320	122387
353	291	122678
352	313	122991
351	322	123313
350	285	123598
349	315	123913
348	314	124227
347	281	124508
346	286	124794
345	260	125054
344	281	125335
343	287	125622
342	291	125913
341	287	126200
340	275	126475
339	302	126777
338	262	127039
337	224	127263
336	274	127537
335	278	127815
334	249	128064
333	239	128303
332	255	128558
331	245	128803
330	270	129073
329	255	129328
328	246	129574
327	235	129809
326	253	130062
325	242	130304
324	195	130499
323	226	130725
322	246	130971
321	212	131183
320	240	131423
319	200	131623
318	223	131846
317	178	132024
316	212	132236
315	222	132458
314	190	132648
313	191	132839
312	181	133020
311	198	133218
310	176	133394
309	195	133589
308	173	133762
307	164	133926
306	169	134095
305	183	134278
304	172	134450
303	147	134597
302	171	134768
301	177	134945
300	152	135097
299	174	135271
298	142	135413
297	169	135582
296	167	135749
295	163	135912
294	171	136083
293	165	136248
292	144	136392
291	143	136535
290	158	136693
289	115	136808
288	138	136946
287	146	137092
286	155	137247
285	146	137393
284	128	137521
283	140	137661
282	112	137773
281	139	137912
280	123	138035
279	138	138173
278	124	138297
277	138	138435
276	124	138559
275	105	138664
274	130	138794
273	118	138912
272	120	139032
271	95	139127
270	111	139238
269	98	139336
268	72	139408
267	106	139514
266	123	139637
265	111	139748
264	88	139836
263	99	139935
262	100	140035
261	99	140134
260	103	140237
259	100	140337
258	69	140406
257	81	140487
256	83	140570
255	85	140655
254	87	140742
253	85	140827
252	62	140889
251	72	140961
250	74	141035
249	66	141101
248	77	141178
247	77	141255
246	48	141303
245	71	141374
244	60	141434
243	62	141496
242	56	141552
241	55	141607
240	51	141658
239	47	141705
238	54	141759
237	55	141814
236	49	141863
235	47	141910
234	54	141964
233	47	142011
232	38	142049
231	44	142093
230	47	142140
229	51	142191
228	48	142239
227	43	142282
226	41	142323
225	33	142356
224	54	142410
223	45	142455
222	37	142492
221	30	142522
220	31	142553
219	30	142583
218	27	142610
217	40	142650
216	34	142684
215	32	142716
214	34	142750
213	32	142782
212	25	142807
211	30	142837
210	19	142856
209	22	142878
208	23	142901
207	18	142919
206	18	142937
205	20	142957
204	19	142976
203	18	142994
202	10	143004
201	14	143018
200	14	143032
199	13	143045
198	9	143054
197	22	143076
196	15	143091
195	13	143104
194	12	143116
193	11	143127
192	4	143131
191	12	143143
190	14	143157
