分数	人数	累计
669	10	10
668	1	11
666	2	13
665	2	15
664	3	18
663	4	22
662	5	27
661	2	29
660	1	30
659	10	40
658	2	42
657	3	45
656	7	52
655	9	61
654	13	74
653	7	81
652	6	87
651	11	98
650	12	110
649	14	124
648	11	135
647	10	145
646	12	157
645	19	176
644	16	192
643	17	209
642	13	222
641	20	242
640	20	262
639	29	291
638	30	321
637	19	340
636	31	371
635	29	400
634	26	426
633	28	454
632	32	486
631	19	505
630	34	539
629	34	573
628	28	601
627	30	631
626	36	667
625	42	709
624	38	747
623	34	781
622	43	824
621	48	872
620	43	915
619	46	961
618	50	1011
617	50	1061
616	47	1108
615	46	1154
614	51	1205
613	57	1262
612	60	1322
611	46	1368
610	70	1438
609	47	1485
608	43	1528
607	55	1583
606	60	1643
605	56	1699
604	69	1768
603	66	1834
602	63	1897
601	65	1962
600	63	2025
599	75	2100
598	73	2173
597	73	2246
596	73	2319
595	68	2387
594	88	2475
593	71	2546
592	82	2628
591	74	2702
590	86	2788
589	87	2875
588	72	2947
587	78	3025
586	92	3117
585	73	3190
584	92	3282
583	88	3370
582	80	3450
581	84	3534
580	92	3626
579	87	3713
578	89	3802
577	112	3914
576	99	4013
575	107	4120
574	97	4217
573	124	4341
572	90	4431
571	92	4523
570	93	4616
569	99	4715
568	97	4812
567	109	4921
566	136	5057
565	124	5181
564	123	5304
563	109	5413
562	115	5528
561	108	5636
560	109	5745
559	116	5861
558	112	5973
557	127	6100
556	135	6235
555	133	6368
554	109	6477
553	121	6598
552	140	6738
551	125	6863
550	130	6993
549	134	7127
548	142	7269
547	139	7408
546	150	7558
545	142	7700
544	146	7846
543	143	7989
542	135	8124
541	125	8249
540	115	8364
539	153	8517
538	143	8660
537	157	8817
536	144	8961
535	144	9105
534	138	9243
533	126	9369
532	161	9530
531	169	9699
530	146	9845
529	156	10001
528	163	10164
527	179	10343
526	156	10499
525	165	10664
524	173	10837
523	187	11024
522	159	11183
521	179	11362
520	164	11526
519	157	11683
518	166	11849
517	157	12006
516	154	12160
515	169	12329
514	171	12500
513	151	12651
512	177	12828
511	159	12987
510	171	13158
509	164	13322
508	165	13487
507	174	13661
506	168	13829
505	168	13997
504	175	14172
503	172	14344
502	167	14511
501	166	14677
500	190	14867
499	151	15018
498	171	15189
497	171	15360
496	185	15545
495	182	15727
494	187	15914
493	206	16120
492	201	16321
491	186	16507
490	157	16664
489	188	16852
488	196	17048
487	180	17228
486	182	17410
485	187	17597
484	161	17758
483	197	17955
482	174	18129
481	183	18312
480	205	18517
479	197	18714
478	179	18893
477	211	19104
476	186	19290
475	177	19467
474	161	19628
473	192	19820
472	174	19994
471	202	20196
470	172	20368
469	199	20567
468	189	20756
467	201	20957
466	173	21130
465	194	21324
464	205	21529
463	199	21728
462	198	21926
461	186	22112
460	187	22299
459	192	22491
458	181	22672
457	188	22860
456	200	23060
455	222	23282
454	202	23484
453	219	23703
452	201	23904
451	194	24098
450	201	24299
449	176	24475
448	201	24676
447	172	24848
446	202	25050
445	182	25232
444	200	25432
443	223	25655
442	189	25844
441	210	26054
440	196	26250
439	200	26450
438	251	26701
437	215	26916
436	199	27115
435	206	27321
434	205	27526
433	193	27719
432	202	27921
431	201	28122
430	188	28310
429	208	28518
428	218	28736
427	182	28918
426	213	29131
425	189	29320
424	182	29502
423	199	29701
422	187	29888
421	199	30087
420	189	30276
419	215	30491
418	189	30680
417	224	30904
416	179	31083
415	187	31270
414	205	31475
413	199	31674
412	201	31875
411	198	32073
410	182	32255
409	181	32436
408	206	32642
407	209	32851
406	186	33037
405	207	33244
404	180	33424
403	201	33625
402	209	33834
401	216	34050
400	183	34233
399	217	34450
398	221	34671
397	216	34887
396	195	35082
395	212	35294
394	213	35507
393	182	35689
392	218	35907
391	220	36127
390	203	36330
389	203	36533
388	200	36733
387	187	36920
386	197	37117
385	186	37303
384	188	37491
383	152	37643
382	182	37825
381	200	38025
380	192	38217
379	193	38410
378	184	38594
377	203	38797
376	189	38986
375	174	39160
374	195	39355
373	191	39546
372	182	39728
371	181	39909
370	184	40093
369	189	40282
368	183	40465
367	202	40667
366	179	40846
365	177	41023
364	169	41192
363	188	41380
362	188	41568
361	170	41738
360	175	41913
359	161	42074
358	159	42233
357	172	42405
356	180	42585
355	166	42751
354	189	42940
353	164	43104
352	152	43256
351	167	43423
350	165	43588
349	184	43772
348	176	43948
347	206	44154
346	164	44318
345	167	44485
344	164	44649
343	149	44798
342	147	44945
341	166	45111
340	164	45275
339	173	45448
338	147	45595
337	156	45751
336	165	45916
335	136	46052
334	144	46196
333	131	46327
332	139	46466
331	153	46619
330	158	46777
329	125	46902
328	155	47057
327	132	47189
326	118	47307
325	141	47448
324	149	47597
323	139	47736
322	136	47872
321	149	48021
320	119	48140
319	135	48275
318	142	48417
317	126	48543
316	125	48668
315	151	48819
314	143	48962
313	114	49076
312	117	49193
311	127	49320
310	130	49450
309	123	49573
308	127	49700
307	120	49820
306	126	49946
305	130	50076
304	111	50187
303	127	50314
302	132	50446
301	115	50561
300	102	50663
299	113	50776
298	137	50913
297	110	51023
296	111	51134
295	126	51260
294	100	51360
293	90	51450
292	114	51564
291	88	51652
290	102	51754
289	117	51871
288	80	51951
287	82	52033
286	95	52128
285	99	52227
284	91	52318
283	92	52410
282	97	52507
281	83	52590
280	96	52686
279	85	52771
278	78	52849
277	81	52930
276	84	53014
275	85	53099
274	82	53181
273	72	53253
272	69	53322
271	92	53414
270	72	53486
269	77	53563
268	70	53633
267	66	53699
266	65	53764
265	64	53828
264	69	53897
263	62	53959
262	67	54026
261	68	54094
260	76	54170
259	73	54243
258	63	54306
257	58	54364
256	69	54433
255	51	54484
254	58	54542
253	51	54593
252	52	54645
251	59	54704
250	37	54741
249	49	54790
248	37	54827
247	43	54870
246	48	54918
245	40	54958
244	49	55007
243	32	55039
242	33	55072
241	33	55105
240	41	55146
239	39	55185
238	41	55226
237	43	55269
236	39	55308
235	41	55349
234	46	55395
233	25	55420
232	23	55443
231	27	55470
230	26	55496
229	30	55526
228	34	55560
227	33	55593
226	23	55616
225	29	55645
224	23	55668
223	30	55698
222	14	55712
221	22	55734
220	31	55765
219	23	55788
218	22	55810
217	22	55832
216	14	55846
215	14	55860
214	22	55882
213	18	55900
212	24	55924
211	18	55942
210	13	55955
209	11	55966
208	22	55988
207	14	56002
206	13	56015
205	11	56026
204	10	56036
203	10	56046
202	11	56057
201	14	56071
200	9	56080
199	12	56092
198	10	56102
197	10	56112
196	10	56122
195	9	56131
194	9	56140
193	10	56150
192	6	56156
191	8	56164
190	3	56167
189	5	56172
188	5	56177
187	7	56184
